,artist.name,artist.hotness,Songs,Year,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,Time
2168,Desert Dwellers,0.355008769,Pranafestation,2006,0.08,4.51056,0.376,0.88655,406.17751,3.657,0.491050168,10,0.516,37.15735675,Not available,-63.93335787,-11.128,1,0.477,225132,DownTemple Dub: Flames,ARCPFBP1187B9943F9,0.483891999,406.178,0,0.88655,86.675,progressive house,0.932922678,3,0.291,00s
2171,Black Eyed Peas,1.005941966,Let's Get It Started,2004,0.081,1.32488,0.712,0.21216,223.03302,0.165,0.845601887,6,0.5,37.15735675,"Los Angeles, CA",-63.93335787,-5.939,0,0.507,673805,Kids Sing Along Pac,ARV4KO21187FB38008,,219.847,0.642,0.21216,107.199,hip hop,1,4,1,00s
2172,Lizzy Borden,0.419967936,There Will Be Blood Tonight,2000,0.024,0.88851,0.798,0.37567,235.65016,0.334,0.609819761,10,0.13,34.05349,"Los Angeles, CA",-118.24532,-3.053,0,0.378,559955,Deal With The Devil,ARGBE8R1187FB4D4FA,0.511424326,218.25,0.9,0.11861,115.418,heavy metal,1,4,0.007,00s
2174,Righteous Brothers,0.460703675,Harlem Shuffle,1999,0.228,0.31685,0.878,0.31685,188.55138,0.27,0.68508049,3,0.006,37.27188,California,-119.27023,-8.602,1,0.325,495087,Classic,ARISHTQ1187FB3E6F0,0,180.651,0.664,0.31685,103.225,blue-eyed soul,1,4,0.885,90s
2177,The Tragically Hip,0.493629438,The Drop-Off,2006,0.139,0.76993,0.435,0.03914,219.89832,0,0.758299704,4,0.447,44.23153,"Kingston, Ontario, Canada",-76.47933,-3.926,1,0.452,358351,World Container,ARGCEMX1187B9921A4,0.471578248,210.686,0.791,0.03914,165.224,roots rock,0.946109067,3,0.855,00s
2179,Michael Jackson,0.766545451,Tabloid Junkie,1995,0.13,1.7206,0.738,0.62842,272.71791,0.189,0.86652032,10,0.596,37.15735675,Not available,-63.93335787,-6.779,0,0.545,280410,HIStory - PAST_ PRESENT AND FUTURE - Book I,ARG5N201187FB570F1,,268.771,0.335,0.22139,111.132,motown,0.999971562,4,1,90s
2181,Flowin Immo et Les Freaqz,0.26173013,Immonumental,2009,0.405,1.70059,0.615,0.49819,185.10322,2.496,0.369988124,4,0.138,37.15735675,Not available,-63.93335787,-6.79,0,0.339,758701,Immoment,ARB0WNP1187B9AC4AB,0.299877488,173.244,0.156,0.19686,51.714,hip hop,1,4,0,00s
2182,Bebo Norman,0.513300123,Borrow Mine,2004,0.527,0.23186,0,0.23186,280.39791,2.955,0.683771102,1,0.444,37.15735675,Not available,-63.93335787,-5.174,1,0.537,524252,Try,AR9Q34X1187B9A28B6,0.473346541,269.636,0.162,0.23186,144.022,ccm,1,4,0.754,00s
2183,Photek,0.438779161,Under The Palms,2000,0.05,0.84671,0.895,0.27848,157.3873,0.199,0.645426499,2,0.087,52.05777,"Ipswich, England",1.14378,-15.006,1,0.599,29172,Solaris,ARVXGIR1187FB3BB86,0.468997788,157.387,0.338,0.27848,105.085,jungle music,0.928765186,4,1,00s
2184,Isabel Pantoja,0.363506516,Limosna De Amores,1999,0.128,0.24229,0,0.24229,237.322,4.696,0.496152636,4,0.837,37.15735675,Not available,-63.93335787,-8.361,0,0.768,225923,A Tu Vera,ARMMP8Y1187FB3D466,,233.372,0.049,0.24229,128.502,flamenco,1,3,0.708,90s
2185,BigElf,0.36416381,Superstar,2008,0.009,0.99845,0.769,0.4979,225.59302,0.288,0.628290857,10,0.252,37.15735675,Not available,-63.93335787,-4.456,0,0.261,593775,Cheat the Gallows,ARDS4KE1187FB40ED3,0.664542415,216.938,0.621,0.24204,120.07,stoner rock,0.938235125,4,0.033,00s
2188,Bobby Pulido,0.426851853,Mi Alma Esta Enamorada,1996,0.217,0.49776,0.833,0.19035,233.06404,0.253,0.575844757,2,0.636,26.30116,"Edinburg, TX",-98.1607,-9.433,1,0.621,153196,EnsA(c)A+-ame,ARLNZDA122988EDC3E,0,223.3,0.562,0.03927,199.826,tejano,1,4,0,90s
2193,Mike And The Mechanics,0.257381628,Nobody's Perfect,1988,0.008,1.02881,0,0.41491,283.24526,2.961,0.661766092,5,0.644,37.15735675,United Kingdom,-63.93335787,-6.951,1,0.525,28754,Mike & The Mechanics Hits,ARYNX5Z1187B999686,,269.886,0.056,0.11064,97.882,pop rock,1,4,1,80s
2194,Joe Rogan,0.379222861,Tigers Fucking (Spoken Word) (Album Version),2000,0.045,0.0498,0.792,0.0498,356.362,0,0.510993042,4,0.518,40.73197,"Newark, NJ",-74.17418,-11.926,1,0.516,8759,I'm Gonna Be Dead Someday,ARCPD4X1187FB4A18F,0.355285536,351.521,0.823,0.0498,83.99,comedy,0.82150099,3,0.427,00s
2195,In Extremo,0.447330487,Vollmond,2000,0.673,0.44875,0.673,0.44875,297.45587,0,0.749077779,2,0.639,37.15735675,Not available,-63.93335787,-5.065,0,0.603,428422,Am goldenen Rhein,ARMZMYQ1187B9B1364,,297.456,0.194,0.44875,110.133,heavy metal,1,1,0,00s
2197,Don Francisco,0.372298573,Give Your Heart a Home,1991,0.097,1.89791,0,0.21032,280.73751,2.49,0.508058613,7,0.718,38.99792,Colorado,-105.55096,-15.636,1,0.712,578298,Signature Songs,ARLRK8Y1187FB39D10,0.445454526,273.81,0.388,0.21032,103.584,ccm,1,7,0.438,90s
2198,Mavado,0.520784107,Real McKoy Feat. Busy Signal,2007,0.251,0.23457,0.355,0.23457,211.30404,0,0.694357746,7,0.438,37.15735675,Not available,-63.93335787,-6.088,1,0.474,117351,Gangsta For Life: The Symphony Of David Brooks,AR187K81187FB36F27,0.478726289,211.304,0.606,0.23457,125.348,reggaeton,0.998265719,3,1,00s
2200,Hanoi Rocks,0.441643405,No Comprimise_ No Regrets,2005,0.045,0.73229,0.589,0.05513,240.66567,0,0.687694457,4,0.62,37.15735675,Not available,-63.93335787,-3.764,1,0.654,162141,Another Hostile Takeover,ARYZTJS1187B98C555,0.327736683,230.864,0.392,0.05513,126.105,heavy metal,0.997080677,4,0,00s
2205,Atari Teenage Riot,0.443875676,Destroy 2000 Years Of Culture,1997,0.368,0.94686,0.385,0.41072,231.47057,0,0.686811617,11,0.016,52.51607,"Berlin, Germany",13.37698,-5.054,0,0.269,505438,Live In Philadelphia,ARTI6QG1187B99CC38,,231.471,0.017,0.1524,114.037,breakcore,1,4,1,90s
2206,RUN-DMC,0.606630152,Crack,1988,0.08,0.67885,0,0.0588,101.74649,0,0.686988955,1,0.095,37.15735675,Not available,-63.93335787,-6.905,0,0.486,307454,Tougher Than Leather,ARKAI6D1187B98A539,0.270775999,101.746,1,0.0588,96.686,hip hop,1,4,0.976,80s
2209,Otis Spann,0.368689373,Evil Ways,1989,0.489,0.44273,0.346,0.44273,233.63873,0.518,0.534464352,5,0.655,32.29869,"Jackson, MS",-90.18049,-23.893,1,0.646,379517,Spanning A Lifetime,AR0CJQS1187FB42BEB,0.680655631,224.653,0.065,0.18696,115.38,piano blues,1,3,0.689,80s
2211,Atman,0.374560253,Distant Voices,2002,0.008,0.75537,0.692,0.75537,268.22485,4.673,0.52607728,1,0.664,37.15735675,Not available,-63.93335787,-11.783,0,0.592,555390,The Lonely Road,ARN2LGQ1187B991277,0.379523324,261.433,0.057,0.43874,91.007,downtempo,1,4,1,00s
2215,Gonzalo Rubalcaba,0.345174319,Improv #1,2006,1,0.55951,1,0.55951,206.00118,0.177,0.534392294,3,0.569,23.1168,"Havana, Cuba",-82.38859,-24.57,1,0.483,34483,Solo,AR9RMDO1187FB41CD0,,206.001,0.773,0.19891,72.071,latin jazz,1,1,0,00s
2216,George Lopez,0.516963731,Kids In the Store,2003,0.251,0.06092,0.251,0.06092,261.51138,0,0.668020249,5,0.253,37.15735675,"ORANGE, California",-63.93335787,-15.336,1,0.352,591018,Team Leader,AR9PHBE1187B9A4C5A,,256.801,0.562,0.06092,83.883,california,1,1,0.568,00s
2217,Cam'Ron / Juelz Santana,0.515325301,Losing Weight Part 2,2002,0.112,1.71975,0.205,0.63607,366.05342,0,0.858270678,2,0,40.8079,"Harlem, NY",-73.9454,-6.426,1,0,64782,Come Home With Me,ARZXTEY1187B9997A7,0.474054831,359.619,0,0.27485,110.57,hip hop,0.999845667,3,1,00s
2218,Minipop,0.372890581,Fingerprints,2007,0.051,1.20726,0.986,0.46259,163.00363,2.038,0.612770671,2,0.208,37.15735675,Corte Madera CA,-63.93335787,-4.993,1,0.523,725703,A New Hope,ARE7F6X1187FB3AD20,0.673074435,151.005,0.192,0.46259,160.051,dream pop,0.934041879,4,0.614,00s
2219,Krystof,0.372119119,Star,2004,0.159,0.49026,0.39,0.49026,301.24363,2.485,0.508636229,0,0,37.15735675,"HavAAov, AeskA! republika",-63.93335787,-7.016,1,0.271,72104,Mikrokosmos,AR9F09S1187FB38D82,0.413739836,292.838,0.432,0.2031,105.157,soft rock,0.998367287,3,0.904,00s
2228,Cece Winans,0.540832552,Life,1998,0.259,0.97446,0.975,0.49251,248.99873,0.206,0.637772159,0,0.282,35.2225,"Charlotte, NC",-80.83754,-7.181,0,0.561,514111,Everlasting Love,ARXJJSN1187B98CB37,0.349166902,231.277,0.727,0.25094,124.332,ccm,1,4,0.428,90s
2231,Toots & The Maytals,0.517990221,She Will Never Let Me Down,1998,0.008,1.21974,0.96,0.19157,125.88363,0.148,0.710901466,5,0.673,37.15735675,Not available,-63.93335787,-9.969,1,0.505,764874,Pressure Drop: The Definitive Collection,ARFCBPO12454A2E567,0.460963161,120.448,0.873,0.19157,115.75,reggae,1,4,1,90s
2235,Year Long Disaster,0.369803828,Stranger In My Room,2010,0.078,0.42818,1,0.06693,222.04036,0.131,0.78041271,9,0.493,34.05349,"Los Angeles, CA",-118.24532,-4.776,1,0.396,707594,Black Magic; All Mysteries Revealed,AREA9E21187FB50835,0.650248724,217.025,0.475,0.06693,166.025,stoner rock,0.982747227,4,0.792,10s
2238,Bob Wills,0.379960767,Bubbles in My Beer,1991,0.343,0.70382,0.368,0.70382,137.42975,0.276,0.498834974,0,0.557,31.30757,"Kosse, TX",-96.63166,-15.987,1,0.622,120595,Backline Volume 4,AR0CDSK1187FB52ED6,,132.122,0.504,0.34109,86.197,western swing,1,4,0.708,90s
2239,Bacilos,0.400705227,Sangre americana,2004,0.042,0.7604,0,0.37525,229.32853,1.088,0.595554054,10,0.19,37.15735675,Not available,-63.93335787,-5.047,1,0.205,104256,Sinverguenza,ARLAWDD1187FB48367,0.542898743,227.103,0.449,0.18219,156.002,vallenato,0.941710026,4,0.974,00s
2241,Dobet GnahorA(c),0.395352793,Wigue,2010,0.12,1.05051,1,0.17781,46.21016,0.311,0.450053568,1,0.663,37.15735675,BELGIUM,-63.93335787,-15.912,0,0.623,800719,Djekpa la you,ARJTAX61187FB40B19,0.405115722,46.21,0.422,0.17781,142.782,blues-rock,0.93696032,3,0.914,10s
2244,Red I Flight,0.327526078,Of Myth And Men (Album Version),2008,0.022,1.45853,0.867,0.16129,259.29098,0.45,0.747061427,6,0.087,37.15735675,Not available,-63.93335787,-5.033,1,0.244,212771,The Years,ARXBG0K1187FB3DBB0,0.358976526,256.296,0.725,0.16129,92.439,death core,0.976061067,4,0.734,00s
2248,3 Steps Ahead,0.401354215,My Mind Is Gone,1997,0.328,1.00219,0.328,1.00219,45.50485,0,0.500528353,9,0.523,37.15735675,Not available,-63.93335787,-16.459,0,0.497,713439,Most Wanted & Mad,ARLTF751187B991DB2,,45.505,0.656,0.61858,74.551,gabba,1,1,0,90s
2249,Fat Joe,0.572027854,Prove Something (explicit album version),2002,0.376,0.82889,0,0.03706,235.17995,0,0.822908534,1,0.45,37.15735675,"Bronx, NY",-63.93335787,-3.775,1,0,762311,Loyalty,ARLUNSX11F50C4FD4B,0.228096066,235.18,0.567,0.03706,159.499,gangster rap,0.949342927,4,0.919,00s
2251,BA(c)nabar,0.373060493,Christelle Est Une Ordure,2005,0.579,0.52228,0.367,0.52228,224.9922,0,0.609294155,2,0.192,37.15735675,Not available,-63.93335787,-14.658,1,0.35,307644,Reprise Des NA(c)gociations,ARVEJ9M1187FB4DC44,0,221.658,0,0.22368,100.312,chanson,1,3,0.659,00s
2256,Sneaky Sound System,0.447386029,I Love It [Clubstar Remix],2006,0.003,0.57359,0.857,0.1599,342.02077,0.136,0.375736887,11,0.345,-33.86963,"Sydney, Australia",151.20695,-6.424,0,0.422,401488,I Love It,AR3NPVS1187FB5108F,0,329.706,0.997,0.1599,145.032,alternative dance,0.862639088,4,0.743,00s
2257,Bally Sagoo,0.34873593,Punjabian Di Chale Glassi,2003,0.003,0.67583,0.713,0.04441,282.25261,0,0.58097151,6,0.817,37.15735675,Not available,-63.93335787,-12.686,0,0.679,198380,Hanji,ARJ5NBK1187B9AE484,0,263.227,0.658,0.04441,96.043,bhangra,0.886340165,4,0.676,00s
2258,Los Titanes,0.384201629,No La Dejes Sola,2008,0.009,0.69647,0.958,0.10495,214.17751,0.183,0.481621471,2,0.196,37.15735675,Not available,-63.93335787,-6.453,1,0.559,234738,Rumba Que Te Tumba,ARE2ZKF1187FB3E288,0.465641758,210.483,0.385,0.10495,103.548,salsa,1,4,0.41,00s
2259,Blue Rodeo,0.447935481,Mystic River,2007,0.154,0.35759,0.55,0.35759,251.402,0,0.636423645,7,0.655,43.64856,"Toronto, Ontario, Canada",-79.38533,-7.225,1,0.807,217966,Small Miracles,ARGCEMX1187B9921A4,0.334706549,240.477,0.652,0.35759,121.795,country rock,1,4,0.522,00s
2260,Whitney Cummings,0.308303462,Romance,2009,0.379,0.43666,0.379,0.43666,48.63955,0,0.22873031,6,0.14,37.15735675,Not available,-63.93335787,-4.429,0,0.241,629748,Emotional Ninja,ARJ6WGW1187B9913EB,0.215080319,48.64,0.238,0.20226,106.41,stand-up comedy,0.839689315,1,0,00s
2263,Nick Cave & The Bad Seeds,0.479407676,Rock Of Gibraltar,2003,0.007,0.97544,0.764,0.19084,180.03546,0.195,0.694021648,7,0.762,37.15735675,Not available,-63.93335787,-8.537,1,0.684,275954,Nocturama,AR1XD261187B9ACF9B,0.590860298,169.14,0.384,0.19084,158.404,rock,1,3,1,00s
2264,Nando Lauria,0.309656149,O Come All Ye Faithful,2003,0.412,0.59455,0.444,0.59455,210.52036,0.224,0.46258544,10,0.71,37.15735675,Not available,-63.93335787,-12.928,1,0.773,399772,Latino Christmas,AR74USH1187B98943F,0.425304242,198.972,0.38,0.30726,106.658,latin jazz,1,4,1,00s
2279,Atman,0.374560253,Luminous Bliss,2005,0.003,1.76483,0.411,0.76344,290.48118,2.328,0.52607728,9,0.683,37.15735675,Not available,-63.93335787,-8.732,0,0.317,553001,97 | 07,ARN2LGQ1187B991277,0.313562114,282.889,0.217,0.51247,118.058,downtempo,1,4,0.876,00s
2286,Sandy Posey,0.33286717,When Will I Be Loved,1990,0.717,0.46977,0.717,0.46977,125.36118,2.038,0.495518893,4,0.937,37.15735675,"Jasper, AL",-63.93335787,-12.892,1,0.786,663900,One Fine Day,ARM5JLS1187FB3615B,0.215080319,117.383,0.913,0.15638,120.92,ballad,0.960592583,1,0,90s
2291,Stephan Micus,0.365533756,Contessa Entellina,2001,0.104,0.23372,0.104,0.23372,274.65098,0.334,0.561370907,8,0.701,37.15735675,Not available,-63.93335787,-25.395,1,0.419,178620,Desert Poems,ARW0VDD1187FB3C9D2,0.367273416,247.188,0.104,0.23372,82.581,free improvisation,0.86460919,1,0,00s
2298,Boards of Canada,0.530330384,Happy Cycling,1996,0.013,0.80557,1,0.20518,472.52853,0.18,0.738039725,7,0.087,37.15735675,Scotland,-63.93335787,-13.207,0,0.427,532527,Music Has The Right To Children,ARYPTWE1187FB49D64,0.685473638,429.941,1,0.20518,100.013,trip hop,0.920417205,4,0.831,90s
2299,MU330,0.385571725,Cursed Again,1997,0.275,1.45663,0.97,0.49867,132.44036,0.232,0.599662426,0,0.601,37.15735675,"St. Louis, MO",-63.93335787,-7.554,0,0.631,243289,Chumps On Parade,ARDBBI01187B98983C,0.460484845,132.44,1,0.25836,126.274,ska punk,1,4,1,90s
2302,Jah Cure,0.519636856,Freedom,2008,0.586,0.68274,0.586,0.68274,287.65995,0.148,0.707204744,5,0.551,37.15735675,"Montego Bay, Jamaica",-63.93335787,-6.304,0,0.592,647213,The Universal Cure,AR94I9A1187FB555D6,0.485122364,279.667,1,0.19338,85.731,roots reggae,0.977039271,1,0.584,00s
2303,Nickelback,0.779968005,We Will Rock You,2005,0.087,0.55377,1,0.18059,119.7971,0.085,0.847451713,11,0.354,49.26044,"Hanna, Alberta, Canada",-123.11403,-5.535,0,0.412,267820,Photograph [Commercial Single],ARW1MUW1187FB4D5A1,0.627608603,113.766,1,0.18059,161.909,alternative metal,0.999907748,4,0.685,00s
2304,Ron Goodwin,0.333015302,Personal Tragedy,1999,0.903,0.69621,0.903,0.69621,47.51628,0.362,0.444677871,7,0.21,50.3758,"Plymouth, Devon, England",-4.13689,-19.995,1,0.505,64157,Battle Of Britain,ARKU15L1187B99198D,0.212045406,47.516,0.097,0.19219,61.409,easy listening,1,1,0,90s
2305,George Nooks,0.33953242,Better Way Of Life,2001,0.008,0.70467,1,0.30431,223.50322,0.404,0.563748627,7,0.549,37.15735675,Not available,-63.93335787,-5.641,0,0.435,146308,Standing By,ARI4SKQ1187B9B43B0,,217.925,0.436,0.11461,149.827,dancehall,0.951169129,4,0.09,00s
2307,Keb' Mo',0.472281211,I'm Amazing,2004,1,0.17889,1,0.17889,194.48118,0.154,0.632130913,7,0.511,34.05349,"Los Angeles, CA",-118.24532,-10.981,1,0.684,292133,Keep It Simple,ARA7Y2Y1187B9B8588,0.536032112,181.005,1,0.17889,88.746,blues,1,1,0,00s
2314,Linkin Park,0.779118679,Pushing Me Away (Album Version),2000,0.011,0.09307,0.96,0.09307,190.30159,0,0.887386081,3,0.212,34.05349,"Los Angeles, CA",-118.24532,-4.78,0,0.345,43318,Hybrid Theory,AR5H4CJ1187B9AE949,,183.472,0.554,0.09307,103.129,rap metal,0.905192264,4,0.712,00s
2315,Whitney Cummings,0.308303462,Porn,2009,0.082,1.82146,0.057,0.368,78.91546,0,0.22873031,10,0.12,37.15735675,Not available,-63.93335787,-4.314,0,0.406,629748,Emotional Ninja,ARJ6WGW1187B9913EB,0.215080319,78.915,0.057,0.368,145.562,stand-up comedy,0.839689315,7,0.654,00s
2316,Ronnie Milsap,0.497690507,Why Don't You Spend The Night,1980,0.036,1.52596,0.769,0.54399,251.27138,0.257,0.63259242,2,1,35.32689,"Robbinsville, NC",-83.80489,-10.415,1,0.91,390157,The Essential Ronnie Milsap,ARNW5721187FB38E9F,,231.741,0.534,0.28419,113.86,country rock,0.995517919,4,0.265,80s
2319,The Flies,0.400208058,All Too Human,2007,0.464,1.12823,0.461,0.49461,222.40608,11.755,0.541745664,5,0.002,37.15735675,Not available,-63.93335787,-11.814,0,0.25,94459,The Flies,AREZMQ71187FB51096,,217.693,0,0.17753,95.051,freakbeat,0.927732289,3,0.226,00s
2320,EPMD,0.453850265,Mr. Bozack,1990,0.003,0.69752,0.621,0.34587,159.26812,0.31,0.315684874,6,0.543,37.15735675,allentown Pennsylvania USA,-63.93335787,-11.498,0,0.273,47639,Business As Usual,ARM2EJV1187B98EA13,0.476248227,159.268,0.719,0.16961,173.423,hip hop,1,4,0.918,90s
2322,Between The Buried And Me,0.546545162,Use Of A Weapon (Album Version),2002,0.041,0.66511,0.392,0.0725,291.39546,0,0.840590438,1,0.457,35.2225,"Charlotte, NC",-80.83754,-5.765,1,0.46,27051,Between The Buried And Me,ARMAC4T1187FB3FA4C,0.579038701,286.616,0.591,0.0725,179.406,alternative metal,0.948459133,4,0.439,00s
2323,Deborah Coleman,0.339457315,Confused,2000,0.033,0.69719,0.605,0.22713,209.44934,0.171,0.48307464,5,0.652,36.83264,"Portsmouth, VA",-76.29771,-3.432,1,0.655,238767,Soft Place To Fall,AR1IY3B1187B98B384,0.334706549,195.587,0.42,0.22713,127.122,blues-rock,0.976557583,4,0.89,00s
2324,Dark Fortress,0.4165294,Evenfall,2010,0.295,1.27947,0,0.29094,336.16934,0,0.633932726,3,0,37.15735675,Not available,-63.93335787,-3.832,1,0,708849,Ylem,ARJO0QT1187FB4053C,0.754404411,307.542,0.333,0.29094,127.817,sympho black metal,0.944116121,4,1,10s
2325,Time Factory,0.308174369,Fleeting sound,2006,0.204,2.25883,0,0.0819,243.56526,4.429,0.411190826,1,0.155,37.15735675,Not available,-63.93335787,-6.612,1,0.201,269267,No borders,ARMV5S61187FB55696,,240.39,0.162,0.0819,89.335,hip house,1,3,1,00s
2327,Ayo,0.390641236,Down On My Knees,2006,0.075,0.32846,0,0.32846,240.95302,0,0.522590185,7,0.441,37.15735675,United States,-63.93335787,-10.372,0,0.468,363783,Down On My Knees,ARAL4561187B999C82,,234.963,0,0.32846,182.705,neo soul,0.948532447,4,1,00s
2332,Mindy McCready,0.431882756,Be With Me,2002,0.061,0.39217,0.803,0.39217,231.33995,0.439,0.679292184,9,0.4,27.9758,"Fort Meyers, FL",-81.54106,-9.018,1,0.552,106254,Mindy McCready,ARMH4YI1187FB3F45E,0,218.767,0,0.05428,88.942,female vocalist,1,4,0.835,00s
2333,Elmore James,0.434823431,Strange Kinda Feeling (Take 4),1993,0.047,0.26542,0.756,0.26542,57.39057,0.184,0.619366856,5,0.009,32.20703,"Richland, MS",-90.14988,-10.985,1,0.307,588884,Dark And Dreary,ARFGMSJ122988ED7A0,,52.28,0.56,0.08986,172.9,chicago blues,0.975697618,5,1,90s
2334,Korn,0.528709934,Right Now,2003,0.273,0.10096,0,0.10096,185.93914,0,0.829135422,9,0.768,37.15735675,"Bakersfield, CA",-63.93335787,-6.738,0,0.471,518084,Live & Rare,AR5H4CJ1187B9AE949,,185.939,0.132,0.10096,210.691,rap metal,0.921075999,4,1,00s
2337,Lisa Lisa & Cult Jam (featuring Full Force),0.228751049,U Never Nu How Good U Had It,1989,0.149,1.40403,0.678,0.29816,285.12608,0,0.522693398,6,0.351,37.15735675,Not available,-63.93335787,-7.311,1,0.41,286317,Super Hits,AR0OZJU1187B990541,,281.617,1,0.29816,107.944,freestyle,0.957155255,4,1,80s
2339,BT,0.512226738,Knowledge Of Self (Evol Intent Remix),2004,0.399,0.7088,0.652,0.26363,253.07383,0,0.786427083,10,0.255,34.23294,Earth,-102.4102,-6.21,0,0.375,264782,The Dungeonmaster's Guide,AR7M4QL1187B9AE979,0.578274893,234.934,0.565,0.26363,136.897,electronica,0.999989369,3,1,00s
2343,Geggy Tah,0.335335108,Special Someone,2001,0.054,0.19783,1,0.19783,231.54893,0.165,0.518337026,8,0.17,37.15735675,Not available,-63.93335787,-9.781,1,0.617,240016,Into the Oh,ARDW1CO1187B9AD318,0,212.103,1,0.19783,103.046,post-grunge,1,4,0.884,00s
2345,Bumblefoot,0.448407442,Piranha,2008,0.044,0.58045,0.494,0.58045,200.35873,0.067,0.645533997,2,0.487,40.14323,New Jersey,-74.72671,-4.793,1,0.434,630579,Abnormal,AR3L9WA1187B9A5861,0.27224568,194.99,0.93,0.11127,98.784,alternative metal,0.899648388,4,0.26,00s
2349,David Gilmour Featuring Richard Wright,0.541656322,Arnold Layne,2006,0.733,0.33117,0.733,0.33117,202.1873,2.067,0.716035209,2,0.036,37.15735675,"Cambridgeshire, England",-63.93335787,-7.204,1,0.404,53164,Arnold Layne,ARMLZE11187B9B34D3,,193.091,0.261,0.11622,138.43,blues-rock,1,1,0,00s
2351,Red Hot Chili Peppers,0.576201966,Venice Queen (Album Version),2002,0.001,1.6019,0.904,0.25075,367.01995,0.192,0.833967972,0,0.262,37.15735675,Not available,-63.93335787,-5.278,1,0.44,9153,By The Way,ARCE0H01187B9AF741,0.911733498,357.953,0.439,0.25075,88.57,rap rock,0.936098431,4,0.602,00s
2352,Seven Mary Three,0.419163588,People Like New (LP Version),1997,0.686,2.24047,0.705,0.64954,238.10567,6.31,0.653397489,9,0.213,37.15735675,Not available,-63.93335787,-10.133,0,0.486,761892,Rock Crown,AR94SFV1187FB4DA2C,0,230.882,0.138,0.25908,77.885,post-grunge,1,4,0.575,90s
2354,Willie Bobo,0.379671125,It's Not Unusual,2008,0.034,2.50956,0.993,0.49311,139.49342,0.136,0.588827101,0,0.516,40.79195,"New York, NY [Spanish Harlem]",-73.94512,-12.039,1,0.645,228300,Latin Jazz (Jazz Club),AR1N6N61187FB4E25E,,128.522,0.747,0.22757,113.552,latin jazz,0.965406124,7,0.595,00s
2358,Alexis HK,0.345269235,Maudits anglois,2009,0.019,0.5393,0.892,0.16855,202.57914,0.137,0.629399857,11,0.483,37.15735675,Not available,-63.93335787,-12.215,0,0.564,406997,Les Affranchis,ARVEJ9M1187FB4DC44,0.327736683,197.538,0.414,0.16855,160.066,chanson,1,4,0.356,00s
2359,Tha Liks featuring King T,0,The Bubble,2001,0.121,3.06741,0.197,0.3882,251.6371,0,0.536655656,1,0.162,37.15735675,Not available,-63.93335787,-5.17,1,0.453,287223,X.O. Experience,ARLMHFV1187B9A3833,,251.637,0.29,0.3882,89.311,los angeles,0.864452172,5,0.599,00s
2364,Blind Willie Johnson,0.401144742,If I Had My Way I'd Tear This Building Down,1996,0.531,0.32611,0.531,0.32611,189.3873,0.177,0.607326982,5,0.215,31.30627,"Marlin, TX",-96.89774,-16.111,1,0.415,599320,The Roots Of Rap: Classic Recordings From The 1920s & 30s,ARE36MM1187B991E50,0.358534976,182.793,0.342,0.14543,164.641,texas blues,0.972352995,1,0,90s
2365,Onesidezero,0.33810401,Awake (Album Version),2001,0.002,0.3736,0.716,0.3736,228.80608,2.473,0.596642396,11,0.568,34.05349,"Los Angeles, CA",-118.24532,-6.036,0,0.519,571600,Is This Room Getting Smaller?,AR0TG261187B99AC74,0.206396916,228.806,0.454,0.20154,86.844,post-grunge,0.981715592,4,1,00s
2366,Fito Paez,0.458730806,La Ley De La Vida,2010,0.291,1.15972,0.905,0.20206,273.03138,0.165,0.657826886,4,0.127,37.15735675,Not available,-63.93335787,-6.116,0,0.156,759590,ConfiA!,ARV4TAT1187FB3BDE8,0.496175336,265.41,0.905,0.20206,124.989,rock 'n roll,0.916230687,4,0,10s
2367,Wet Wet Wet,0.411195688,Goodnight Girl,1992,0.025,1.26799,0.856,0.64203,257.25342,0.288,0.642280769,2,0.393,55.8578,"Glasgow, Scotland",-4.24251,-4.925,1,0.557,1593,All I Want,AROXQGK1187FB4560B,,247.728,0.64,0.32346,93.156,blue-eyed soul,1,4,0.824,90s
2370,Rhian Sheehan,0.414780659,An Afternoon On the Moon (Jet Jaguar's Remix),2001,0.096,0.67473,0.885,0.07873,200.77669,0.061,0.558007752,5,0.158,-41.28054,Wellington,174.76714,-12.88,0,0.297,529997,Paradigm Shift,ARUVN7Z1187B99056E,,192.244,0.74,0.07873,98.998,trip hop,0.906784868,4,0.905,00s
2371,The Fabulous Thunderbirds,0.429353515,Rainin' In My Heart,1989,0.12,1.54215,1,0.48475,221.23057,0.473,0.623154284,4,0.69,30.2676,"Austin, TX",-97.74298,-14.977,0,0.534,382118,Powerful Stuff,AR9YUFD1187B98F91B,0.215080319,212.91,0.444,0.48475,110.98,blues-rock,1,3,1,80s
2375,Kool Keith,0.464550281,Wanna Be A Star,1996,0.197,0.35707,0.477,0.03077,222.30159,0,0.639614201,9,0.459,37.15735675,Not available,-63.93335787,-4.224,0,0.451,347392,Official Space Tape,ARNWZ1N1187B9B71BA,0.323112121,222.302,0.695,0.03077,181.208,dirty rap,0.89262147,4,0,90s
